LocalIP,RemoteIP,Port,TimeIndex,NumPackets,NumBytes,StartTime,EndTime,Protocol,DirAndReason 
10.1.106.65, 152.201.219.184, 3544, 0, 5, 373, 1473840840000, 1475003717000, 17, 5 
10.1.104.180, 137.250.32.247, 3544, 0, 8, 674, 1473840840000, 1474616793000, 17, 5 
10.1.106.65, 15.103.216.95, 3544, 0, 6, 532, 1473840840000, 1474995583000, 17, 5 
10.1.104.180, 184.173.94.41, 3544, 0, 8, 593, 1473840840000, 1475552372000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 9, 428, 1473840840000, 1476219775000, 17, 5 
10.1.104.180, 184.173.94.41, 3544, 0, 6, 557, 1473840840000, 1475743155000, 17, 5 
10.1.104.180, 184.173.94.41, 3544, 0, 9, 530, 1473840840000, 1474819813000, 17, 5 
10.1.104.180, 9.54.218.196, 3544, 0, 8, 632, 1473840840000, 1476267432000, 17, 5 
10.1.104.180, 123.34.119.47, 3544, 0, 6, 619, 1473840840000, 1476298095000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 11, 494, 1473840840000, 1474751713000, 17, 5 
10.1.104.180, 255.106.6.17, 3544, 0, 8, 850, 1473840840000, 1475224530000, 17, 5 
10.1.106.65, 15.103.216.95, 3544, 0, 3, 232, 1473840840000, 1476127791000, 17, 5 
10.1.104.180, 150.0.102.74, 3544, 0, 6, 472, 1473840840000, 1474632854000, 17, 5 
10.1.104.180, 9.54.218.196, 3544, 0, 2, 620, 1473840840000, 1476455005000, 17, 5 
10.1.106.65, 15.103.216.95, 3544, 0, 5, 488, 1473840840000, 1476116268000, 17, 5 
10.1.106.65, 98.190.237.29, 3544, 0, 7, 319, 1473840840000, 1475476535000, 17, 5 
10.1.104.180, 255.106.6.17, 3544, 0, 5, 86, 1473840840000, 1475040271000, 17, 5 
10.1.106.65, 15.103.216.95, 3544, 0, 6, 627, 1473840840000, 1475033435000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 2, 560, 1473840840000, 1474974457000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 5, 552, 1473840840000, 1475021769000, 17, 5 
10.1.104.180, 106.161.159.209, 3544, 0, 5, 458, 1473840840000, 1475298610000, 17, 5 
10.1.104.180, 109.180.144.140, 3544, 0, 7, 572, 1473840840000, 1476081113000, 17, 5 
10.1.104.180, 164.14.54.251, 3544, 0, 5, 583, 1473840840000, 1475783267000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 5, 318, 1473840840000, 1475406770000, 17, 5 
10.1.104.180, 224.0.0.253, 3544, 0, 6, 586, 1473840840000, 1474569987000, 17, 5 
10.1.104.180, 109.180.144.140, 3544, 0, 8, 544, 1473840840000, 1475963984000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 10, 533, 1473840840000, 1475988736000, 17, 5 
10.1.104.180, 213.189.202.149, 3544, 0, 9, 574, 1473840840000, 1476146316000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 7, 140, 1473840840000, 1475546950000, 17, 5 
10.1.104.180, 213.189.202.149, 3544, 0, 11, 732, 1473840840000, 1475238591000, 17, 5 
10.1.104.180, 98.19.113.38, 3544, 0, 6, 256, 1473840840000, 1476034643000, 17, 5 
10.1.104.180, 26.243.187.248, 3544, 0, 9, 566, 1473840840000, 1476714447000, 17, 5 
10.1.106.65, 98.190.237.29, 3544, 0, 2, 580, 1473840840000, 1475795044000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 8, 359, 1473840840000, 1475484912000, 17, 5 
10.1.104.180, 184.173.94.41, 3544, 0, 5, 539, 1473840840000, 1475376699000, 17, 5 
10.1.104.180, 101.51.100.13, 3544, 0, 6, 312, 1473840840000, 1474964755000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 10, 342, 1473840840000, 1474594825000, 17, 5 
10.1.104.180, 93.186.69.213, 3544, 0, 6, 782, 1473840840000, 1475325617000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 5, 702, 1473840840000, 1475618320000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 7, 460, 1473840840000, 1476015201000, 17, 5 
10.1.106.65, 105.22.116.167, 3544, 0, 6, 592, 1473840840000, 1474327651000, 17, 5 
10.1.104.180, 69.116.122.82, 3544, 0, 3, 505, 1473840840000, 1475605367000, 17, 5 
10.1.104.180, 141.181.143.217, 3544, 0, 5, 755, 1473840840000, 1475018415000, 17, 5 
10.1.106.65, 12.187.144.98, 3544, 0, 9, 475, 1473840840000, 1474738442000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 3, 825, 1473840840000, 1475843165000, 17, 5 
10.1.106.65, 12.187.144.98, 3544, 0, 6, 640, 1473840840000, 1475577015000, 17, 5 
10.1.104.180, 213.189.202.149, 3544, 0, 6, 471, 1473840840000, 1475215682000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 11, 613, 1473840840000, 1475421393000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 7, 591, 1473840840000, 1475258199000, 17, 5 
10.1.106.65, 152.201.219.184, 3544, 0, 10, 744, 1473840840000, 1475223825000, 17, 5 
10.1.106.65, 56.166.125.73, 3544, 0, 7, 459, 1473840840000, 1475324680000, 17, 5 
10.1.106.65, 21.220.152.64, 3544, 0, 9, 130, 1473840840000, 1475556986000, 17, 5 
